gap_uid,card,process_ref,process_name,L1_대분류,종류,종류설명,내용,제안담당,담당_근거,선행,관련_row_id,root_cause_id,root_cause,걸린낱말
GX-t63-054,t63,P06,인쇄 사양 축 입력하기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,캘린더 가공·장수(월수) 선택 — calendar-configurator.tsx가 캘린더 가공(process) select와 장수(sheets) 입력을 각각 렌더한다.,김동학,,코드는 있는데 원장 상태가 「구현-미검증」다,STD-OPT-056,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),미검증
GX-t63-055,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,코팅 선택(무광/유광 × 단면/양면) — 무광코팅 라벨과 무광/유광 동시선택 금지 제약 코멘트로 코팅 선택 UI는 확인되나 가격 매칭 세부는 검증 범위 밖.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-024,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-056,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,박 선택(색상 다종 × 면 × 크기 × 내용같음/틀림) — TProcProcesses.side_sel_yn(면별선택)+swatch_color/swatch_img_key가 박(색상·면·크기) 공정의 일반 프레임을 제공하나 전용 박 모델은 없다(공정마스터 데이터로 표현).,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-025,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-057,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,형압(양각/음각) 선택 — TProcProcesses.side_sel_yn 도움말이 예: 박·형압으로 형압을 명시하며 같은 일반 공정 프레임을 공유한다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-026,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-058,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,오시 선택(줄 수 × 방향) — 오시(줄 수×방향)는 TProcProcesses의 prcs_dtl_opt(공정상세옵션 JSON)로 일반화되어 표현되며 전용 모델·전용 코드 라벨은 찾지 못했다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-027,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-059,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,미싱 선택 — 미싱도 오시와 같은 TProcProcesses+prcs_dtl_opt 일반 프레임으로 표현되며 코드 상 미싱 문자열 자체는 찾지 못했다(데이터 등록 항목으로 추정).,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-028,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-060,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,타공 선택(직경 × 개수 × 위치) — 타공(직경×개수×위치)도 같은 prcs_dtl_opt 일반 프레임. widget_renderer.js에 직경 병기 로직(공정 판정용·877행 부근)은 있으나 타공 전용 코드 문자열은 찾지 못했다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-029,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-061,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,귀돌이/라운딩 선택(반경 × 모서리 위치) — 귀돌이/라운딩(반경×모서리위치)도 같은 prcs_dtl_opt 일반 프레임으로 구현 추정되나 전용 코드 문자열은 찾지 못했다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-030,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-062,t63,P07,후가공·부자재 고르기,옵션·견적,나,나 — 행은 있는데 코드 0,넘버링(일반/난수 × 자릿수 × 개수) 선택 — 코드에서 넘버링 관련 문자열을 찾지 못했다 — scope.csv 상태도 미착수와 일치.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-OPT-032,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-063,t63,P07,후가공·부자재 고르기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,부분UV/에폭시 선택 — 부분UV/에폭시도 같은 prcs_dtl_opt 일반 프레임으로 추정되며 전용 코드 문자열은 찾지 못했다(X-GAP-UVFORM-01 선행 조사도 적재경로 미상으로 기록).,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-033,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-064,t63,P07,후가공·부자재 고르기,옵션·견적,나,나 — 행은 있는데 코드 0,상품별 기본제공 부자재 규칙 표시 — 상품별 기본제공 부자재를 명시적으로 표시하는 규칙/UI 코드를 찾지 못했다.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-OPT-035,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-065,t63,P08,실시간 견적 받기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,면적 기반 가격 계산(실사·현수막·아크릴) — 박·형압 가공비·동판셋업비가 가로×세로 면적 격자표로 계산된다는 설계 주석을 확인했으나 전용 area 함수명은 특정하지 못했다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-048,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-066,t63,P08,실시간 견적 받기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,고정가형 가격 계산(수량×옵션) — PRICE_TYPE.03(고정금액=매칭 구간 금액 그대로·수량 무관)이 고정가형 계산방식으로 정의된다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-050,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-067,t63,P08,실시간 견적 받기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,셋트/부품조립 상품 합산 가격 계산 — evaluate_set_price가 셋트구성원(members)·셋트선택값(set_selections)·벌수(copies)를 받아 합산 가격을 계산한다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-051,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-068,t63,P08,실시간 견적 받기,옵션·견적,다,다 — 코드는 있는데 연결 안 됨,가격 0원/계산불가 상태 처리 및 사용자 안내 — widget.js가 amount==null(계산불가)은 남기고 0원 줄만 생략하도록 명시적으로 분기하며 pricing.py의 ERR_NO_TIER_ROW/ERR_NO_PLATE가 계산불가 사유코드를 정의한다.,최숙진,,코드는 있는데 원장 상태가 「부분」다,STD-OPT-045,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-069,t63,P09,견적 저장·대량주문 문의,옵션·견적,나,나 — 행은 있는데 코드 0,견적 결과 저장(옵션보관함) — 견적 결과를 저장하는 옵션보관함 기능 코드를 찾지 못했다 — scope.csv 상태(미착수)와 일치.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-OPT-053,RC-13,에디터(Edicus)·보관함 연동 미결,보관함
GX-t63-070,t63,P09,견적 저장·대량주문 문의,옵션·견적,나,나 — 행은 있는데 코드 0,견적서 PDF/출력물 발급 — 견적서 PDF/출력물 발급 기능 코드를 찾지 못했다 — scope.csv 상태(미착수)와 일치.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-OPT-054,RC-19,게시판·문의·리뷰 응대 운영,문의
GX-t63-071,t63,P09,견적 저장·대량주문 문의,옵션·견적,나,나 — 행은 있는데 코드 0,대량주문 견적 문의 접수 — 대량주문 견적 문의 접수 코드를 찾지 못했다 — scope.csv 상태(미착수)와 일치.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-OPT-055,RC-19,게시판·문의·리뷰 응대 운영,문의
GX-t63-072,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,대용량 파일 분할/재개 업로드 — 100MB 이상 파일은 _uploadMultipart 로 10MB 단위 분할 전송(분할은 구현). 다만 조각 실패 시 ops.abort 로 전체 중단 후 처음부터 다시 시작하며 이미 올라간 조각부터 이어받기는 코드에 없다 — 재개(resume)는 미구현,서희항,,코드는 있는데 원장 상태가 「구현-미검증」다,STD-ART-002,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),미검증
GX-t63-073,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,업로드 진행률·실패 재시도 — paintFileProgress 가 파일별 %를 실시간 갱신하고 pvfileretry 버튼과 retryUploads로 실패 재시도를 제공한다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-003,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-074,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,건수별 개별 파일 업로드(디자인 N종) — multi 모드에서 cap(최대 개수)까지 파일을 누적하고 build_order_key 의 seq(1-based 순번)가 벌(건수)별 별도 경로를 만든다.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-004,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-075,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,앞면/뒷면 파일 분리 업로드 — 파일은 item·mbr·inst 단위로 구분 업로드되어 구성요소(반제품)별 분리는 되나 앞면/뒷면 이라는 이름의 축은 코드에서 직접 확인 못함(item 단위 분리로 대체 구현된 것으로 추정).,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-005,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-076,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,주문 이후 파일 업로드 경로(결제 후 입고) — 결제가 끝나도 Edicus 쪽 프로젝트는 editing 에 머물고 인쇄 데이터 생성이 시작되지 않는다(edicus_lookup.py 자체 주석) — 원고 파일(S3)의 tmp→order 승격은 order/register 직후 구현돼 있으나 편집기 산출물(Edicus definitive_order) 쪽 후속 배선은 TODO(edicus-G7)로 미완.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-006,RC-02,order/register 주문등록 S2S — 제공자는 살아 있고 호출측이 없다,order/register
GX-t63-077,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,파일 재업로드·버전 이력 보관 — build_order_key 의 r{rev}(회차) 세그먼트가 재업로드본을 덮어쓰지 않고 쌓는다고 docstring에 명시 — 버전 이력 보관 설계·구현 확인.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-007,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-078,t63,P10,원고 올리기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,가변데이터 인쇄(VDP) 데이터 업로드·병합 — Edicus 공식 데모(demo-vdp)에 VDP 데이터 업로드·저장(loadVdpData/saveVdpData) 기능이 있으나 webadmin/huni-mall 쪽에는 VDP 취소 시 데이터 삭제를 언급하는 주석 한 줄(edicus_lookup.py:391) 외 통합 코드가 없음 — Edicus SDK 자체 기능만 확인,김동학,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-029,RC-13,에디터(Edicus)·보관함 연동 미결,Edicus
GX-t63-079,t63,P11,올린 원고 확인하기,원고·파일,나,나 — 행은 있는데 코드 0,업로드 파일 썸네일·PDF 미리보기 — 6135)만 있고 고객 업로드 파일의 썸네일·PDF 미리보기 코드 없음),서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ART-019,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-080,t63,P11,올린 원고 확인하기,원고·파일,나,나 — 행은 있는데 코드 0,재단선 오버레이 미리보기 — 사이즈 설명용 겹상자 그림(MediaBox/BleedBox/TrimBox 식)은 있으나 업로드 파일 자체에 대한 재단선 오버레이 미리보기는 아님 — 혼동 방지를 위해 found=N으로 판정.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ART-020,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-081,t63,P12,에디터로 디자인하기,원고·파일,가,가 — 원장에 행 없음,에디터 산출물 변환 실패 처리 — 인쇄용 파일 변환이 실패했을 때의 손님 안내·재시도가 원장에 없다,서희항,,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다,,RC-13,에디터(Edicus)·보관함 연동 미결,에디터
GX-t63-082,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,온라인 디자인 에디터 진입 — _onEditor 가 huni:editor(cancelable) 발화 후 /api/w/v1/editor/resolve 호출 → 오버레이로 편집기 진입시키는 전체 흐름.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-021,RC-13,에디터(Edicus)·보관함 연동 미결,에디터
GX-t63-083,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,「옵션 조합에 연결된 편집기 템플릿 없음」 오류 — 에디쿠스 템플릿 연결 점검 — gap_report()가 편집기 버튼은 켜졌는데 템플릿 0행([C]류,서희항,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-030,RC-13,에디터(Edicus)·보관함 연동 미결,편집기
GX-t63-084,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,삭제된 사이즈 코드가 연결된 템플릿 전수조사(800여 개 중 노출 대상 선별) — gap_report()의 dead(죽은 행 = 템플릿이 가리키는 값을 고객이 못 고름,서희항,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-031,RC-13,에디터(Edicus)·보관함 연동 미결,에디터
GX-t63-085,t63,P12,에디터로 디자인하기,원고·파일,나,나 — 행은 있는데 코드 0,에디쿠스 테스트용 단순 상품(메모패드 등) 제공 — CLAUDE.md·STATE.md 의 메모패드 언급은 전부 STD-ART-030/031 사고 재현·감사 도입 계기이지 테스트용 단순 상품 제공 자체는 별도 산출물로 존재하지 않음.,서희항,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ART-032,RC-13,에디터(Edicus)·보관함 연동 미결,에디쿠스
GX-t63-086,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,선택 옵션(사이즈·페이지)과 에디터 캔버스 동기화 — _onEditor 가 매번 selections/sel_opts/proc_sels 를 모아 서버 resolve 를 다시 불러 ps_cd/tmpl_uri 를 재산출 — 옵션 변경 시 편집기 규격이 재동기화됨.,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-025,RC-11,상품·가격 원천 이원화(webadmin ↔ 샵바이 동기화),동기화
GX-t63-087,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,에디터 작업물 저장·재편집 — sdk.on(save) 가 setEditorResult 로 prjid 저장(613-615) 이후 재진입 시 prev.prjid 있으면 openProject 로 이어 편집(631-632) — 저장·재편집 확인.,서희항,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-023,RC-13,에디터(Edicus)·보관함 연동 미결,에디터
GX-t63-088,t63,P12,에디터로 디자인하기,원고·파일,다,다 — 코드는 있는데 연결 안 됨,에디터 산출물 인쇄용 파일 변환·주문 연결 — handoff payload 의 editors[]에 prjid 가 실려 주문에 연결되나(구조는 확인) Edicus 쪽 실제 인쇄용 고해상 파일 렌더링(definitive_order)은 edicus_lookup.py 주석상 미배선 — 주문 연결은 부분,서희항,,코드는 있는데 원장 상태가 「부분」다,STD-ART-024,RC-13,에디터(Edicus)·보관함 연동 미결,에디터
GX-t63-089,t63,P13,원고 보관·재사용,원고·파일,다,다 — 코드는 있는데 연결 안 됨,고객 파일 보관기간 정책 적용·만료 삭제 — 고객이 올린 원고는 30일 시한부인 임시 버킷 이 코드 주석상 여러 곳에서 전제되지만 그 30일 만료·삭제는 S3 버킷 수명주기(인프라 설정)이지 이 저장소 코드가 정의/집행하지 않음 — 정책 반영은 간접 확인,미정,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-026,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-090,t63,P13,원고 보관·재사용,원고·파일,다,다 — 코드는 있는데 연결 안 됨,과거 주문 파일 재사용 재주문 — clone_project() 함수(TODO edicus-G9 재주문 설계의 열쇠)는 존재하나 이 함수들은 어디에서도 호출되지 않는다(433-438 주석) — 재사용 재주문 경로는 설계만 있고 미배선.,서희항+김동학,,코드는 있는데 원장 상태가 「미착수」다,STD-ART-027,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-091,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,장바구니 담기(인쇄옵션+파일 동반) — el.submit() 핸드오프 결과로 OrderLine(옵션+파일/편집 참조 포함 optionInputs)을 만들어 회원은 addToCart 비회원은 addGuestLine 으로 담는다.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-001,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-092,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,비회원 장바구니 계산(비영속) — shopby /cart 는 회원 전용 이라 게스트 장바구니는 localStorage(KEY=huni_guest_cart)에만 저장 — 서버 비영속 확인.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-007,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,shopby
GX-t63-093,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,장바구니 조회 — isGuest 여부로 useCart(회원)/useGuestCart(게스트) 분기해 lines 를 렌더.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-002,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-094,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,장바구니 인쇄사양 요약 표시 — 장바구니 라인의 optionLabel(구성 요약)과 huni_order 페이로드(qty/total/summary)로 인쇄사양 요약을 라인에 표시.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-008,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-095,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,장바구니 수량/옵션 수정 — updateLine 이 회원=memberActions.updateCartItem/게스트=updateGuestLine 로 저장을 추상화하고 위젯 라인은 applyQty 로 재견적 후 수량·옵션을 갱신.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-003,RC-17,옵션·제약·위젯 배선(가격 축),위젯
GX-t63-096,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,장바구니 항목 삭제 — removeLines/removeSelected — 회원=memberActions.removeCartItems 게스트=removeGuestLines(localStorage).,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-004,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-097,t63,P14,장바구니 담고 고치기,장바구니·주문,나,나 — 행은 있는데 코드 0,선택 상품 금액 계산 — selectedLines 를 lineAmount 로 클라이언트 합산해 totalAmount 표시.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-005,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-098,t63,P14,장바구니 담고 고치기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,구매가능 검증(결제 전 sanity) — shopby 스펙에 POST /cart/validate(구매가능 검증) 엔드포인트가 정의돼 있으나 huni-mall 코드(src/lib/api) 전수 grep 결과 이 엔드포인트를 호출하는 곳이 없음 — 서버 능력은 있으나 몰이 아직 연결하지 않음.,김동학,,코드는 있는데 원장 상태가 「부분」다,STD-ORD-006,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,shopby
GX-t63-099,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,주문서 작성 — useCreateOrderSheet 이 POST /order-sheets 로 cartNos/products 를 실어 주문서를 만든다.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-009,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-100,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,주문서 조회 — useOrderSheet 이 GET /order-sheets/{orderSheetNo} 로 주문서 요약을 조회.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-010,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-101,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,주문자/수령자 정보 입력 — address.recipient/phone 필드로 수령자 정보를 ordererName/ordererContact1 로 주문자 정보를 입력·전송.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-012,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-102,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,비회원 주문서 무통장 계좌·입금자명 표시(회원 주문서와 동일 여부) — 회원(checkout-form.tsx)·비회원(guest-checkout-form.tsx) 양쪽 모두 은행 선택 드롭다운+입금자명 입력 필드를 거의 동일한 구조로 구현 — 회원 주문서와 동일 UI 패턴 확인.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-032,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-103,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,배송지 주소 검색(우편번호) — AddressSearchModal 이 GET /addresses/search(우편번호 찾기)로 zipCode/roadAddress 를 검색해 채워 넣는다.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-013,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-104,t63,P15,주문서 쓰기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,나중배송(배송지 미입력) 주문 — /later-input/order(배송지 나중입력 주문) 엔드포인트가 shopby 스펙에 존재하나 huni-mall(src/) 전수 grep 결과 later-input 을 호출하는 코드가 없음 — 서버 능력만 있고 몰 쪽 미구현.,김동학,,코드는 있는데 원장 상태가 「미착수」다,STD-ORD-015,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,shopby
GX-t63-105,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,배송 요청사항 입력 — 배송메모 TextField(register(address.memo))로 배송 요청사항 입력.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-014,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-106,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,출고 옵션 선택(오늘출고·토요일출고) — 출고 옵션(오늘출고·토요일출고) 선택 UI/필드를 huni-mall·shopby 스펙 어디서도 못 찾음.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-017,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,shopby
GX-t63-107,t63,P15,주문서 쓰기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,주문 제목/작업명 입력 — 전용 주문 제목 입력 필드는 못 찾음 — 위젯 요약(summary)이 그 역할을 부분 대체하는 것으로 추정.,김동학,,코드는 있는데 원장 상태가 「부분」다,STD-ORD-016,RC-17,옵션·제약·위젯 배선(가격 축),위젯
GX-t63-108,t63,P15,주문서 쓰기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,쿠폰·배송지 반영 최종 금액 계산 — POST /order-sheets/{no}/calculate 로 쿠폰·주소 반영 서버 재계산(calc) 후 dispTotal 표시,김동학,,코드는 있는데 원장 상태가 「부분」다,STD-ORD-011,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-109,t63,P15,주문서 쓰기,장바구니·주문,라,라 — 결정 미정,결제 직전 재견적(최종 금액을 다시 확정하고 결제로 넘김) — 생략 → 결제 직전 재견적 인프라(requote.ts·requote/route.ts)는 존재하나 실제 호출은 cart-page.tsx 의 로드시 정규화에서만 쓰이고 checkout-form.tsx(결제 버튼 클릭 시점)에는 requote 호출이 없음 — grep 결과 checkout-form.tsx 에 requote 문자열 0건.,김동학,,사람이 정해야 끝나는 안건 — 코드가 없는 것이 결함이 아니다,STD-ORD-029,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-110,t63,P15,주문서 쓰기,장바구니·주문,나,나 — 행은 있는데 코드 0,약관 동의(구매·개인정보 제3자) — RHF Controller 로 zod agree 필드를 연결한 동의 체크박스(라디오/체크 1개) — 구매·개인정보 제3자 약관을 세분한 다중 체크는 못 찾음(단일 동의로 보임).,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-018,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-111,t63,P16,주문 확정하기,장바구니·주문,가,가 — 원장에 행 없음,주문등록 S2S 실패 재전송·수기 보정 — S2S 가 실패하면 주문이 후니로 안 넘어가는데 복구 경로가 원장에 없다,김동학+서희항,,원장 735행에 행을 새로 섞지 않는다 — 이 제안으로만 남긴다,,RC-02,order/register 주문등록 S2S — 제공자는 살아 있고 호출측이 없다,주문등록
GX-t63-112,t63,P16,주문 확정하기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,주문 예약(reserve) 및 금액 검증 — 결제(POST /payments/reserve → PG 외부창) 주석과 무통장입금 reserve 요청 바디 빌더로 주문 예약·금액 검증 구현.,김동학,,코드는 있는데 원장 상태가 「부분」다,STD-ORD-019,RC-99,공통 뿌리 없음 — 그 구간의 개별 건(사람이 읽어야 한다),
GX-t63-113,t63,P16,주문 확정하기,장바구니·주문,나,나 — 행은 있는데 코드 0,주문 완료 화면·주문번호 발급 — OrderCompleteView 컴포넌트와 order-complete/[orderNo] 라우트로 완료 화면·주문번호 표시.,김동학,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-020,RC-23,실측으로 확인하지 못했다(코드·화면을 찾지 못함),찾지 못했
GX-t63-114,t63,P16,주문 확정하기,장바구니·주문,다,다 — 코드는 있는데 연결 안 됨,주문 생성 직후 후니 주문등록 S2S 호출(order/register) — POST /api/w/v1/order/register(쇼핑몰→후니 260818)가 주문 등록 직후 사양·원고를 쇼핑몰 주문번호에 묶어 보관 — 다만 huni-mall(src/) 전수 grep 결과 이 엔드포인트를 호출하는 코드가 없어 수신측(webadmin) 엔드포인트는 있으나 호출측(huni-mall) 배선은 미착수로 보인다(scope.csv 상태 미착수와 일치).,김동학,,코드는 있는데 원장 상태가 「미착수」다,STD-ORD-030,RC-02,order/register 주문등록 S2S — 제공자는 살아 있고 호출측이 없다,주문등록
GX-t63-115,t63,P16,주문 확정하기,장바구니·주문,나,나 — 행은 있는데 코드 0,주문완료 메일/알림 발송 — 양쪽 저장소 어디에도 주문완료 메일/알림 발송을 구현한 코드가 없음(Shopby 플랫폼 자체 알림 설정에 의존할 가능성 있으나 코드 근거는 없음).,최숙진,,코드·명세를 뒤졌으나 구현을 찾지 못했다,STD-ORD-031,RC-05,샵바이 Server API — 명세는 완비인데 호출 코드가 0,Shopby
