prd_cd,product_group,axis,needed,owner_inspector,verdict,confidence,evidence,note
PRD_000144,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000144,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000145,실사,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기(일부 추가옵션은 가공축)
PRD_000145,실사,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공 택일
PRD_000145,실사,제약규칙,Y,cpq-link,MISSING,HIGH,needed=Y(실사 비규격 경계 또는 스티커 소량)인데 라이브 constraint 0행,비규격(최소/최대) 가로세로 경계·블리드
PRD_000145,실사,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,추가상품 미동반
PRD_000146,아크릴,추가상품,Y,cpq-link,MISSING,HIGH,추가상품(볼체인 등) needed=Y인데 t_prd_product_addons 0행=추가상품이 견적·주문에 안 붙음,추가상품(볼체인 등)
PRD_000146,아크릴,옵션그룹,Y,cpq-link,MISMATCH,HIGH,고리 그룹 sel_typ_cd NULL=택1/택N 미정,주문방법·소재·가공·조각수 택일
PRD_000146,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000146,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000147,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000147,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000147,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000147,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000148,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000148,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000148,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000148,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000149,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000149,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000149,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000149,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000150,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000150,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000150,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000150,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000151,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000151,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000151,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000151,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000152,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000152,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000152,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000152,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000153,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000153,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000153,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000153,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000154,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000154,아크릴,옵션그룹,Y,cpq-link,MATCH,HIGH,라이브 옵션그룹 존재; 하위 옵션항목 polymorphic ref 100% 해소(DEAD_LINK 0),주문방법·소재·가공·조각수 택일
PRD_000154,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000154,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000155,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000155,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000155,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000155,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000156,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000156,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000156,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000156,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000157,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000157,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000157,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000157,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000158,아크릴,추가상품,Y,cpq-link,MISSING,HIGH,추가상품(볼체인 등) needed=Y인데 t_prd_product_addons 0행=추가상품이 견적·주문에 안 붙음,추가상품(볼체인 등)
PRD_000158,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000158,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000158,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000159,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000159,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000159,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000159,아크릴,추가상품 템플릿,N,cpq-link,N/A,HIGH,needed=N; 라이브 template 0행=정합,단품형 SKU 미사용
PRD_000160,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000160,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000160,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000160,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000161,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000161,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000161,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000161,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000162,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000162,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000162,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000162,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000163,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000163,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000163,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000163,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000164,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000164,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000164,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000164,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000165,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000165,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000165,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000165,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
PRD_000166,아크릴,추가상품,N,cpq-link,N/A,HIGH,needed=N; 라이브 addon 0행=정합,추가상품 미표기
PRD_000166,아크릴,옵션그룹,Y,cpq-link,MISSING,HIGH,옵션레이어 전무(option_groups 0행)=시뮬레이터 차원환원 불가(배치1·2 동형 패턴),주문방법·소재·가공·조각수 택일
PRD_000166,아크릴,제약규칙,N,cpq-link,N/A,HIGH,needed=N(제약 별표 없음); 라이브 constraint 부재=정합,제약 별표 없음(쉐이커★는 배치외)
PRD_000166,아크릴,추가상품 템플릿,Y,cpq-link,MISSING,HIGH,조각수형 세트조합 SKU needed=Y인데 t_prd_templates(base_prd) 0행=세트 조합 견적 불가,조각수형=세트조합 SKU
