std_id,대분류,중분류,기능,상태,매핑legacy_id,매핑asis_id,돈여부,주문여부,근거,비고,담당,done_criteria
STD-ART-022,원고·파일,에디터,에디터 템플릿 선택·불러오기,partial,F-054;IA-054;SCOPE-054;X-EDX-D3-01,WA-047;WA-048,N,Y,raw/webadmin/webadmin/config/urls.py:41-49 · catalog/edicus_views.py:278-674 (템플릿 메타/차원/그리드) · :52-69 (tmpl-combo),R1 · L4 판정 승계,,
STD-ART-023,원고·파일,에디터,에디터 작업물 저장·재편집,todo,F-054;IA-054;SCOPE-054;X-WGTF-EDICUS-01,,N,Y,X-WGTF-EDICUS-01 에디터 연동 계약 미상(U-6/U-7),R1 · L4 판정 승계,,
STD-ART-024,원고·파일,에디터,에디터 산출물 인쇄용 파일 변환·주문 연결,todo,F-054;IA-054;SCOPE-054;X-EDX-D8-01;X-WGTF-EDICUS-01,,N,Y,X-WGTF-EDICUS-01 · X-EDX-D8-01 EDICUS Link Manager POD 채널 이중 등록,R1 · L4 판정 승계,,
STD-ART-025,원고·파일,에디터,선택 옵션(사이즈·페이지)과 에디터 캔버스 동기화,todo,F-054;IA-054;P-EDICUS-MISSING-01;SCOPE-054,,N,Y,P-EDICUS-MISSING-01 EDICUS 미등록/결손 — 셋트문구 5종·레더하드커버·벽걸이캘린더 2사이즈,R1 · L4 판정 승계,,
STD-ART-026,원고·파일,보관,고객 파일 보관기간 정책 적용·만료 삭제,new,,,N,N,print-kb/wiki/policy/operations.md#OPS-02 현행 무정책 To-Be,R1 · L4 판정 승계,,
STD-ART-027,원고·파일,보관,과거 주문 파일 재사용 재주문,todo,F-010;IA-010;SCOPE-010,,N,Y,F-010/SCOPE-010/IA-010 주문상세조회(편집상품 미리보기) CUSTOM·미착수,R1 · L4 판정 승계,,
STD-ART-028,원고·파일,생산연계,생산용 원고 자동 다운로드/전달,partial,F-157;F-159;SCOPE-157;SCOPE-159,WA-052,Y,Y,raw/webadmin/webadmin/catalog/artwork_promote.py:1 (order 버킷 승격),R1 · L4 판정 승계,,
STD-ORD-001,장바구니·주문,장바구니,장바구니 담기(인쇄옵션+파일 동반),done,F-064;F-076;IA-064;IA-076;SCOPE-064;SCOPE-076,SB-022;SB-012,Y,Y,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:201 · src/lib/api/widget-order.ts:26-35 (위젯 견적가 적재),R1 · L4 판정 승계,,
STD-ORD-002,장바구니·주문,장바구니,장바구니 조회,done,F-076;IA-076;SCOPE-076,SB-021,N,Y,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:130-230,R1 · L4 판정 승계,,
STD-ORD-003,장바구니·주문,장바구니,장바구니 수량/옵션 수정,done,F-076;IA-076;SCOPE-076,SB-021;SB-025,N,Y,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:130-230 · src/app/api/printly/requote/route.ts:16-50,R1 · L4 판정 승계,,
STD-ORD-004,장바구니·주문,장바구니,장바구니 항목 삭제,done,F-076;IA-076;SCOPE-076,SB-021,N,Y,huni-skin-shopby/src/lib/api/hooks/use-cart.ts:130-230,R1 · L4 판정 승계,,
STD-ORD-005,장바구니·주문,장바구니,선택 상품 금액 계산,done,F-076;IA-076;SCOPE-076,SB-027,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252",R1 · L4 판정 승계,,
STD-ORD-006,장바구니·주문,장바구니,구매가능 검증(결제 전 sanity),partial,F-061;IA-061;SCOPE-061;X-CR-ENFORCE-CLIENT-01,WA-036,N,Y,raw/webadmin/webadmin/config/urls.py:249 (validate) — X-CR-ENFORCE-CLIENT-01 호출 지점 0건,R1 · L4 판정 승계,,
STD-ORD-007,장바구니·주문,장바구니,비회원 장바구니 계산(비영속),new,,SB-023,N,N,huni-skin-shopby/src/lib/guest-cart.ts:1-31 (localStorage 게스트 장바구니 done),R1 · L4 판정 승계,,
STD-ORD-008,장바구니·주문,장바구니,장바구니 인쇄사양 요약 표시,partial,F-076;IA-076;SCOPE-076,SB-012,N,Y,huni-skin-shopby/src/lib/api/widget-order.ts:26-35 · huni-widget.tsx:257-265,R1 · L4 판정 승계,,
STD-ORD-009,장바구니·주문,주문서,주문서 작성,done,F-077;IA-077;SCOPE-077,SB-026,N,Y,huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:40,R1 · L4 판정 승계,,
STD-ORD-010,장바구니·주문,주문서,주문서 조회,done,F-077;IA-077;SCOPE-077,SB-027,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252",R1 · L4 판정 승계,,
STD-ORD-011,장바구니·주문,주문서,쿠폰·배송지 반영 최종 금액 계산,done,F-077;IA-077;SCOPE-077,SB-027;SB-029,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252 · use-order-coupons.ts:34,69,102",R1 · L4 판정 승계,,
STD-ORD-012,장바구니·주문,주문서,주문자/수령자 정보 입력,done,F-077;IA-077;SCOPE-077,SB-026,N,Y,huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:40,R1 · L4 판정 승계,,
STD-ORD-013,장바구니·주문,주문서,배송지 주소 검색(우편번호),done,IA-079;SCOPE-079,SB-028,N,N,huni-skin-shopby/src/components/checkout/address-modal.tsx:1 · src/lib/daum-postcode.ts:10,R1 · L4 판정 승계,,
STD-ORD-014,장바구니·주문,주문서,배송 요청사항 입력,todo,F-077;IA-077;SCOPE-077,,N,Y,F-077/SCOPE-077/IA-077 배송정보입력 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-ORD-015,장바구니·주문,주문서,나중배송(배송지 미입력) 주문,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §2.2 later-input-shippings,R1 · L4 판정 승계,,
STD-ORD-016,장바구니·주문,주문서,주문 제목/작업명 입력,new,,,N,N,print-story/02_capture/order-flow-steps.md §A-6 주문제목,R1 · L4 판정 승계,,
STD-ORD-017,장바구니·주문,주문서,출고 옵션 선택(오늘출고·토요일출고),new,,,N,N,print-story/02_capture/order-flow-steps.md §C-6 출고 옵션,R1 · L4 판정 승계,,
STD-ORD-018,장바구니·주문,주문서,약관 동의(구매·개인정보 제3자),todo,X-SHOPBY-TERMS-01,,N,Y,X-SHOPBY-TERMS-01 Q-MISC-1 reserve 필수 agreementTermsAgrees termsType 세트 미상,R1 · L4 판정 승계,,
STD-ORD-019,장바구니·주문,주문,주문 예약(reserve) 및 금액 검증,partial,F-080;IA-080;SCOPE-080;X-PAY-FLOW-01,SB-031;SB-033,Y,Y,huni-skin-shopby/src/components/checkout/checkout-form.tsx:157-158 · src/lib/payments/ncp-pay.ts:47-70 — X-PAY-FLOW-01 reserve/paymentAmtForVerification 산식 미상,R1 · L4 판정 승계,,
STD-ORD-020,장바구니·주문,주문,주문 완료 화면·주문번호 발급,done,F-081;IA-081;SCOPE-081,SB-035,N,Y,huni-skin-shopby/src/components/order/order-complete-view.tsx:1,R1 · L4 판정 승계,,
STD-ORD-021,장바구니·주문,주문,주문 상태 조회(회원),done,F-161;IA-009;SCOPE-009;SCOPE-161,SB-045,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354",R1 · L4 판정 승계,,
STD-ORD-022,장바구니·주문,주문,비회원 주문 조회(주문번호+휴대전화),done,IA-073;SCOPE-073,SB-036,N,N,huni-skin-shopby/src/components/order/guest-order-lookup.tsx:4-9,R1 · L4 판정 승계,,
STD-ORD-023,장바구니·주문,주문,주문 상태 머신 전이 표시(결제완료→상품준비→배송준비→배송중→배송완료→구매확정),partial,F-161;SCOPE-161;X-DEC-MIRROR-01,SB-045,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354 · X-DEC-MIRROR-01 샵바이→후니 상태 미러 채널 미확인",R1 · L4 판정 승계,,
STD-ORD-024,장바구니·주문,주문,인쇄 공정 단계 상태 노출(검판·출력·후가공),todo,F-162;SCOPE-162;X-DEC-MIRROR-01,,N,Y,SCOPE-162 주문/주문상세 런타임 그릇 구축 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-ORD-025,장바구니·주문,주문,구매확정(고객·자동),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §3 confirm,R1 · L4 판정 승계,,
STD-ORD-026,장바구니·주문,주문,재주문(동일 사양 반복),todo,F-011;IA-011;SCOPE-011,,N,N,F-011/SCOPE-011/IA-011 옵션보관함 CUSTOM·미착수,R1 · L4 판정 승계,,
STD-ORD-027,장바구니·주문,주문,오프라인 주문 별도 등록 경로,partial,F-098;IA-098;SCOPE-098,WA-060,Y,N,raw/webadmin/webadmin/catalog/models.py:87 (TCusCustomers 모델만 · 전용 운영화면 urls.py 부재),R1 · L4 판정 승계,,
STD-PAY-001,결제,결제수단,신용카드 결제(PG),todo,F-080;IA-080;SCOPE-080;X-PG-CONTRACT-01,SB-032,Y,Y,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 주석 'PG 연동은 후속 — 현재는 무통장만 동작' (SB-032 absent) · X-PG-CONTRACT-01 이니시스 계약 미체결,R1 · L4 판정 승계,,
STD-PAY-002,결제,결제수단,실시간 계좌이체,todo,F-080;IA-080;SCOPE-080;X-PG-CONTRACT-01,SB-032,Y,Y,huni-skin-shopby/src/components/checkout/checkout-form.tsx:8-9 (SB-032 absent),R1 · L4 판정 승계,,
STD-PAY-003,결제,결제수단,무통장입금(가상계좌)·입금대기 상태,done,SCOPE-148,SB-031,N,N,huni-skin-shopby/src/components/checkout/checkout-form.tsx:157-158 · guest-checkout-form.tsx:100-101,R1 · L4 판정 승계,,
STD-PAY-004,결제,결제수단,네이버페이 결제,todo,SCOPE-149;X-DEC-NAVERPAY-01,,Y,Y,X-DEC-NAVERPAY-01 NaverPay 별도 mini-OrderSheet 1차 범위 포함 여부 미결,R1 · L4 판정 승계,,
STD-PAY-005,결제,결제수단,카카오페이 결제,new,,,N,N,print-kb/wiki/policy/order-payment.md#PAY-03,R1 · L4 판정 승계,,
STD-PAY-006,결제,결제수단,토스페이 결제,new,,,N,N,print-kb/wiki/policy/order-payment.md#PAY-03,R1 · L4 판정 승계,,
STD-PAY-007,결제,결제수단,적립금(프린팅머니) 결제,partial,F-014;IA-014;SCOPE-014;X-DEC-PRINTMONEY-01,SB-030;SB-050,Y,N,"huni-skin-shopby/src/lib/api/hooks/use-points.ts:22,62 (조회 done) · checkout-form.tsx:52 (적립/충전은 mock)",R1 · L4 판정 승계,,
STD-PAY-008,결제,결제수단,복합결제(적립금+PG 병용),todo,X-DEC-PRINTMONEY-01,SB-030,Y,N,huni-skin-shopby/src/components/checkout/checkout-form.tsx:52 (mock),R1 · L4 판정 승계,,
STD-PAY-009,결제,결제수단,할부·무이자 옵션,new,,,N,N,print-kb/wiki/policy/order-payment.md#PAY-04,R1 · L4 판정 승계,,
STD-PAY-010,결제,결제수단,B2B 후불결제,todo,F-141;IA-141;SCOPE-141,,Y,Y,F-141/SCOPE-141/IA-141 주문관리-후불결제 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-PAY-011,결제,결제처리,PG 리다이렉트·결제 확정 콜백,partial,F-080;IA-080;SCOPE-080;X-PAY-FLOW-01,SB-033,Y,Y,huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · src/app/api/pay-config/route.ts:8 — X-PAY-FLOW-01 PG 콜백 흐름 미상,R1 · L4 판정 승계,,
STD-PAY-012,결제,결제처리,결제 실패 안내·재시도,todo,X-PAY-FLOW-01,,Y,Y,X-PAY-FLOW-01 결제 확정 흐름 미상,R1 · L4 판정 승계,,
STD-PAY-013,결제,결제처리,결제 금액 위변조 검증(서버 재계산 대조),partial,X-NHN-POLICY-01;X-PAY-FLOW-01;X-PRICE-BRIDGE-01,SB-012,Y,Y,huni-skin-shopby/src/lib/api/widget-order.ts:26-35 (10원×orderCnt 적재 — 견적가 우회 적재) · X-PRICE-BRIDGE-01 동적 계산가 무손실 환원 경로 미확정,R1 · L4 판정 승계,,
STD-PAY-014,결제,결제처리,결제 포기 처리,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §1 PAY_CANCEL,R1 · L4 판정 승계,,
STD-PAY-015,결제,증빙,현금영수증 발급,todo,F-028;IA-028;SCOPE-028;X-TAXDOC-01,SB-053,Y,N,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (정적 표 UI만·API 호출 없음 = stub) · X-TAXDOC-01 팝빌 연동 미결,R1 · L4 판정 승계,,
STD-PAY-016,결제,증빙,세금계산서 발급 신청·내역,todo,F-152;SCOPE-152;X-TAXDOC-01,SB-053,Y,N,huni-skin-shopby/src/components/mypage/document-section.tsx:1-6 (stub),R1 · L4 판정 승계,,
STD-PAY-017,결제,증빙,사업자정보 등록·관리,todo,F-026;F-027;IA-026;IA-027;SCOPE-026;SCOPE-027,,N,N,F-026/027·SCOPE-026/027·IA-026/027 사업자정보 목록·등록 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-PAY-018,결제,증빙,거래명세서 출력,todo,F-025;F-142;IA-025;IA-142;SCOPE-025;SCOPE-142,,Y,Y,F-142/SCOPE-142/IA-142 증빙서류발급 관리 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-SHP-001,배송,배송비,기본 배송비 부과,partial,SCOPE-151;X-DEC-SHIPPING-01,SB-027,Y,Y,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252 (금액계산에 배송비 포함) · X-DEC-SHIPPING-01 배송비 정책 미확정",R1 · L4 판정 승계,,
STD-SHP-002,배송,배송비,무료배송 기준금액 적용,partial,SCOPE-151;X-DEC-SHIPPING-01,SB-027,Y,Y,"huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:177,252",R1 · L4 판정 승계,,
STD-SHP-003,배송,배송비,제주 추가 배송비,todo,F-150;SCOPE-150;X-DEC-SHIPPING-01,,Y,Y,F-150/SCOPE-150 도서산간 추가배송비 데이터화 PARTIAL·미착수,R1 · L4 판정 승계,,
STD-SHP-004,배송,배송비,도서산간 권역별 추가 배송비,todo,F-150;SCOPE-150;X-DEC-SHIPPING-01,,Y,Y,F-150/SCOPE-150 도서산간 추가배송비 데이터화,R1 · L4 판정 승계,,
STD-SHP-005,배송,배송비,특정 상품군 무료배송 제외(실사·대형),todo,SCOPE-151,,N,N,SCOPE-151 배송비 템플릿/조건부 무료배송 PARTIAL,R1 · L4 판정 승계,,
STD-SHP-006,배송,배송비,혼합주문 배송비 산정(최고값 1건),new,,,N,N,print-kb/wiki/policy/shipping.md#SHIP-04 최고값 1건,R1 · L4 판정 승계,,
STD-SHP-007,배송,배송비,배송 권역·템플릿 관리,todo,SCOPE-151,,N,N,SCOPE-151 배송비 템플릿,R1 · L4 판정 승계,,
STD-SHP-008,배송,배송방식,택배 배송,partial,F-077;IA-077;SCOPE-077,SB-026;SB-028,N,Y,huni-skin-shopby/src/lib/api/hooks/use-order-sheet.ts:40 · src/components/checkout/address-modal.tsx:1,R1 · L4 판정 승계,,
STD-SHP-009,배송,배송방식,퀵/화물 배송(대형 인쇄물),new,,,N,N,print-kb/wiki/policy/shipping.md#SHIP-03 실사 대형 파생,R1 · L4 판정 승계,,
STD-SHP-010,배송,배송방식,매장 방문수령,new,,,N,N,print-kb/wiki/policy/order-mgmt.md#OMG-07 오프라인 경로 파생,R1 · L4 판정 승계,,
STD-SHP-011,배송,배송방식,분할배송(건별 부분 출고),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §2.1 주문상품옵션 단위 송장,R1 · L4 판정 승계,,
STD-SHP-012,배송,추적,송장번호 등록(판매자),todo,F-140;IA-140;SCOPE-140,,N,Y,F-140/SCOPE-140/IA-140 주문상태변경 처리(+문자) PARTIAL·미착수,R1 · L4 판정 승계,,
STD-SHP-013,배송,추적,송장 기반 배송상태 일괄변경,todo,F-143;IA-143;SCOPE-143,,N,Y,F-143/SCOPE-143/IA-143 주문상태변경(일괄) PARTIAL·미착수,R1 · L4 판정 승계,,
STD-SHP-014,배송,추적,고객 배송 조회(택배사 추적),partial,F-161;SCOPE-161,SB-045,N,Y,"huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,354",R1 · L4 판정 승계,,
STD-SHP-015,배송,추적,배송지 변경/추가,done,IA-078;IA-079;SCOPE-078;SCOPE-079,SB-048,N,N,huni-skin-shopby/src/lib/api/hooks/use-shipping-address.ts:65-125 (CRUD·기본배송지),R1 · L4 판정 승계,,
STD-SHP-016,배송,알림,배송 상태 변경 알림 발송,todo,F-144;IA-144;SCOPE-144;X-SMS-CONTRACT-01,,N,Y,X-SMS-CONTRACT-01 OQ-G8 알림톡/SMS 서비스 계약 미체결(1차 영향),R1 · L4 판정 승계,,
STD-CLM-001,클레임·CS,취소,주문 전체 취소 신청,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-002,클레임·CS,취소,옵션 부분 취소 신청,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-003,클레임·CS,취소,비회원 취소 신청,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-004,클레임·CS,취소,제작 착수 후 취소 제한·협의 안내,new,,,N,N,print-kb/wiki/policy/operations.md#OPS-01 케이스별 협의,R1 · L4 판정 승계,,
STD-CLM-005,클레임·CS,반품,반품 신청(단일·복수),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계 · lead 결정 3 · 실물있음 — 생산축 STD-MFG-121 (물류 반송 접수 · 고객 신청과는 다른 단계),,
STD-CLM-006,클레임·CS,교환,교환 신청(출고 전/후),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-007,클레임·CS,환불,환불 예상금액 계산,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-008,클레임·CS,환불,환불계좌 등록·수정,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-009,클레임·CS,환불,클레임 철회,new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.3 claims-*,R1 · L4 판정 승계,,
STD-CLM-010,클레임·CS,클레임,클레임 사유 분류 선택(12종),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.2 claimReasonType,R1 · L4 판정 승계,,
STD-CLM-011,클레임·CS,클레임,귀책 구분(구매자/판매자/단순변심),new,,,N,N,huni-shopby/01_research/order-to-delivery-contract.md §4.2 responsibleObjectType,R1 · L4 판정 승계,,
STD-CLM-012,클레임·CS,클레임,클레임 목록·상세 조회,todo,X-SHOPBY-CLAIM-FSM-01,,N,Y,X-SHOPBY-CLAIM-FSM-01 클레임 상태머신 미폐합 — 수거진행 중간상태 누락·입금대기/교환대기/환불완료 전이 미정의,R1 · L4 판정 승계,,
STD-CLM-013,클레임·CS,클레임,판매자 클레임 승인·거부 처리,todo,X-SHOPBY-CLAIM-FSM-01,,N,Y,X-SHOPBY-CLAIM-FSM-01 클레임 상태머신 미폐합,R1 · L4 판정 승계,,
STD-CLM-014,클레임·CS,불량,인쇄 불량 접수(사진 첨부),new,,,N,N,print-kb/wiki/policy/operations.md#OPS-04 클레임/불량,R1 · L4 판정 승계,,
STD-CLM-015,클레임·CS,불량,재제작(재작업) 처리 경로,new,,,N,N,print-kb/wiki/policy/operations.md#OPS-04 재제작 우선,R1 · L4 판정 승계 · lead 결정 3 · 실물있음 — 생산축 STD-MFG-119·120 (일부/전체 재제작),,
STD-CLM-016,클레임·CS,문의,1:1 문의 등록·답변,todo,IA-020;IA-120;SCOPE-020;SCOPE-120,SB-056,N,N,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-CLM-017,클레임·CS,문의,상품 Q&A 등록·답변,todo,IA-016;IA-069;IA-119;SCOPE-016;SCOPE-069;SCOPE-119,SB-056,N,N,huni-skin-shopby/src/app/(main) 하위 inquiry/qna 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-CLM-018,정보·콘텐츠,문의,공지사항·FAQ 열람,partial,IA-067;IA-068;SCOPE-067;SCOPE-068,SB-054;SB-056,N,N,huni-skin-shopby/src/app/(main)/notice/page.tsx:1-27 · src/lib/api/server/board.ts:1 (공지 done) — FAQ 라우트 부재(SB-056 absent),R1 · L4 판정 승계 · lead 결정 4 · 대분류 이관(클레임·CS → 정보·콘텐츠),,
STD-CLM-019,클레임·CS,문의,기업인쇄 상담 접수,todo,IA-071;IA-117;SCOPE-071;SCOPE-117,SB-056,N,N,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-CLM-020,클레임·CS,문의,디자인 상담 접수,todo,F-082;IA-072;IA-082;IA-118;SCOPE-072;SCOPE-082;SCOPE-118,SB-056,N,Y,huni-skin-shopby src/app/(main) 하위 inquiry 라우트 부재 (SB-056 absent),R1 · L4 판정 승계,,
STD-MEM-001,회원·인증,가입,회원가입(이메일 식별자),done,F-005;IA-005;IA-006;SCOPE-005;SCOPE-006,SB-038,N,N,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,R1 · L4 판정 승계,,
STD-MEM-002,회원·인증,가입,약관 동의·전체동의,partial,IA-004;SCOPE-004,SB-038,N,N,"[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:24-25,75-76",R1 · L4 판정 승계,,
STD-MEM-003,회원·인증,가입,휴대전화 본인인증(SMS/PASS),todo,F-007;IA-007;SCOPE-007;X-AUTH-CONTRACT-01,SB-043,N,N,SB-043 absent(인증 SDK·API 호출 지점 0건) · L2 service-dependency D-17 endpoint='(호출 지점 없음)',R1 · L4 판정 승계,,
STD-MEM-004,회원·인증,가입,14세 미만 가입 제한,partial,IA-004;SCOPE-004,SB-038,N,N,[L4b보강] huni-skin-shopby/src/components/auth/signup-form.tsx:28 (age14 필수 약관 게이트),R1 · L4 판정 승계,,
STD-MEM-005,회원·인증,가입,1인 1계정 중복가입 제한,partial,IA-006;SCOPE-006,SB-038,N,N,huni-skin-shopby/src/app/api/auth/signup/route.ts:8-33,R1 · L4 판정 승계,,
STD-MEM-006,회원·인증,가입,가입완료 혜택 자동지급(쿠폰+적립금),todo,F-156;IA-008;SCOPE-008;SCOPE-156;X-SHOPBY-NATIVE-01,,Y,N,print-kb/wiki/policy/membership-auth.md#MEM-07 · L4 사유: L2 인벤토리에 가입완료 혜택 지급 행 없음. X-SHOPBY-NATIVE-01 가입완료 메일 native 범위 미확인.,R1 · L4 판정 승계,,
STD-MEM-007,회원·인증,로그인,아이디/비밀번호 로그인,done,IA-001;SCOPE-001,SB-037,N,N,huni-skin-shopby/src/lib/auth/auth.config.ts:12-22 · src/lib/auth/shopby-auth.ts:1,R1 · L4 판정 승계,,
STD-MEM-008,회원·인증,로그인,아이디 찾기(마스킹),todo,IA-002;SCOPE-002,SB-042,N,N,SB-042 stub — huni-skin-shopby/src/components/auth/find-id-form.tsx:50-56 (토스트 '준비 중'),R1 · L4 판정 승계,,
STD-MEM-009,회원·인증,로그인,비밀번호 재설정(이메일 링크),todo,F-003;IA-003;SCOPE-003,SB-042,N,N,SB-042 stub — find-id-form.tsx:50-56,R1 · L4 판정 승계,,
STD-MEM-010,회원·인증,로그인,카카오 소셜 로그인,todo,SCOPE-145,SB-041,N,N,SB-041 stub — huni-skin-shopby/src/components/auth/sns-buttons.tsx:74-80 (토스트만·signIn 미호출) · D-16 providers 빈 배열,R1 · L4 판정 승계,,
STD-MEM-011,회원·인증,로그인,네이버 소셜 로그인,todo,SCOPE-145,SB-041,N,N,SB-041 stub — sns-buttons.tsx:74-80 · D-16,R1 · L4 판정 승계,,
STD-MEM-012,회원·인증,로그인,구글/애플 소셜 로그인,todo,SCOPE-145,SB-041,N,N,SB-041 stub — sns-buttons.tsx:74-80 · D-16,R1 · L4 판정 승계,,
STD-MEM-013,회원·인증,세션,로그인 세션 유지·자동 갱신,new,,SB-040,N,N,SB-040 done — huni-skin-shopby/src/lib/auth/auth.config.ts:18-22 · src/app/api/shop/[...path]/route.ts:20-27,R1 · L4 판정 승계,,
STD-MEM-014,회원·인증,세션,비회원 게스트 세션 처리,done,IA-073;SCOPE-073,SB-023;SB-034;SB-036,N,N,SB-023 huni-skin-shopby/src/lib/guest-cart.ts:1-31 · SB-034 src/components/checkout/guest-checkout-form.tsx:9-10 · SB-036 src/components/order/guest-order-lookup.tsx:4-9,R1 · L4 판정 승계,,
STD-MEM-015,회원·인증,회원,회원정보 수정(비밀번호 재확인),done,F-021;IA-021;IA-022;SCOPE-021;SCOPE-022,SB-046,N,N,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,R1 · L4 판정 승계,,
STD-MEM-016,회원·인증,회원,비밀번호 변경,done,IA-023;SCOPE-023,SB-046,N,N,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:42,R1 · L4 판정 승계,,
STD-MEM-017,회원·인증,회원,회원탈퇴,done,IA-024;SCOPE-024,SB-047,N,N,huni-skin-shopby/src/lib/api/hooks/use-profile.ts:112 · src/components/mypage/withdraw-section.tsx:4,R1 · L4 판정 승계,,
STD-MEM-018,회원·인증,회원,회원등급 산정·자동 승급,todo,F-146;SCOPE-146;X-DEC-GRADE-01,SB-046,Y,N,[L4b보강] huni-skin-shopby/src/lib/api/hooks/use-profile.ts:39 (memberGradeName 표시 필드만),R1 · L4 판정 승계,,
STD-MEM-019,회원·인증,회원,휴면계정 전환·복구,todo,SCOPE-147,,N,N,[L4b보강] huni-skin-shopby/src/lib/auth/shopby-auth.ts:28 (휴면 응답 주석만·전환/복구 화면 0건),R1 · L4 판정 승계,,
STD-MEM-020,회원·인증,회원,기존 회원 데이터 이관(구 사이트),todo,X-CHK-MIGDRILL-01;X-DEC-EXTMEMBER-01;X-MIG-CONSENT-01;X-MIG-EXTRAINFO-01;X-MIG-MEMBER-SCHEMA-01;X-OLDDB-ACCESS-01,,Y,N,print-kb/wiki/policy/membership-auth.md#MEM-01 마이그레이션 이슈 명시 · L4 사유: 돈 걸림. 구 DB 미접근(X-OLDDB-ACCESS-01)이 20개 질문의 공통 선행 블로커. 이관 리허설 미실행.,R1 · L4 판정 승계,,
STD-MYP-001,마이페이지,주문,주문 목록 조회,done,IA-009;SCOPE-009,SB-045,N,N,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84,R1 · L4 판정 승계,,
STD-MYP-002,마이페이지,주문,주문 상세 조회(사양·파일·상태),partial,F-010;IA-010;SCOPE-010,SB-045,N,Y,huni-skin-shopby/src/lib/api/hooks/use-my-orders.ts:84 (목록/상세),R1 · L4 판정 승계,,
STD-MYP-003,마이페이지,주문,편집상품 미리보기,todo,F-010;IA-010;SCOPE-010,SB-020,N,Y,SB-020 stub — huni-skin-shopby/src/components/product/configurator-actions.tsx:170-176 (onClick 없음),R1 · L4 판정 승계,,
STD-MYP-004,마이페이지,보관함,옵션보관함 저장/불러오기,todo,F-011;F-065;IA-011;SCOPE-011,,N,N,[L4b보강] huni-skin-shopby/src/components/cart/cart-page.tsx:6 ('shopby 장바구니에는 보관함(draft) 개념이 없어 단일 목록으로 렌더'),R1 · L4 판정 승계,,
STD-MYP-005,마이페이지,보관함,보관 기간 정책 적용·만료 처리,new,,,N,N,print-kb/wiki/policy/mypage.md#MYP-01 3개월 권장 · L4 사유: new — 보관 만료 정책은 화면이 아니라 배치 규칙이라 legacy 화면 분모에 수록된 적 없음. 근거 print-kb/mypage.md(ia.md 오염 아님).,R1 · L4 판정 승계,,
