L0,L1,L2,process_id,process_name,step_no,step,row_id,기능,시스템,담당자,상태,원장판정,근거,cross,원장전용
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P18,가격공식·구성요소 설계·바인딩,2,2. 가격구성요소 등록·차원 지정,STD-ADP-024,가격구성요소 등록·차원 지정,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-component-md/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P18,가격공식·구성요소 설계·바인딩,3,3. 단가유형(단가형/합가형) 설정,STD-ADP-026,단가유형(단가형/합가형) 설정,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/catalog/admin.py:2816 'Phase 11: 사용차원 순서지정 위젯 + 단가유형 그룹제한(basecodes prc_typ_cd)',,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P19,단가행 적재·할인·이력 관리,1,1. 단가행 일괄 등록(엑셀 복사·붙여넣기),STD-ADP-025,단가행 일괄 등록(엑셀 업로드),webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/catalog/price_views.py:1650 '그리드에 보이는 행이 곧 이 구성요소의 전체 단가표(엑셀처럼)' · raw/webadmin/webadmin/catalog/templates/catalog/comp_price_grid_page.html:142-145 엑셀 복사·붙여넣기,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P19,단가행 적재·할인·이력 관리,2,2. 면적 매트릭스 단가 관리,STD-ADP-028,면적 매트릭스 단가 관리,webadmin,서희항,구현-미검증,담당맞음,raw/webadmin/webadmin/config/urls.py:144-148 단가 그리드(차원 조합 행) · raw/webadmin/webadmin/catalog/pricing.py:1 evaluate_price,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P19,단가행 적재·할인·이력 관리,3,3. 템플릿 직접단가 관리,STD-ADP-029,템플릿 직접단가 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-viewer/?prd=PRD_000146@2026-09-16 21:30,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P19,단가행 적재·할인·이력 관리,4,4. 수량구간 할인테이블 관리,STD-ADP-027,수량구간 할인테이블 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/discount-table-md/@2026-09-16 21:28,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P19,단가행 적재·할인·이력 관리,5,5. 가격 적용시작일 기반 이력 관리,STD-ADP-030,가격 적용시작일 기반 이력 관리,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-viewer/?prd=PRD_000069@2026-09-16 21:30,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,1,1. 가격 시뮬레이터(운영자 검산),STD-ADP-031,가격 시뮬레이터(운영자 검산),webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-simulator/@2026-09-16 21:28,위젯(STD-OPT 견적) — 고객이 실제로 보는 가격,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,2,2. 가격뷰어(계산 결과 조회),STD-ADP-032,가격뷰어(계산 결과 조회),webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/price-viewer/@2026-09-16 21:28,위젯(STD-OPT 견적) — 고객이 실제로 보는 가격,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격,P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,3,3. 가격 미산출(0원) 진단 — 「상품 › 상품별 기본사양가」 없음(실패) 탭,STD-ADP-033,가격 미산출(0원) 상품 진단 리포트,webadmin,서희항,작동,담당맞음,https://huni-admin.printly.co.kr/admin/start-price/@2026-09-16 21:29,위젯(STD-OPT 견적) — 고객이 실제로 보는 가격,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),운영자·상품가격,가격(원장전용),P20,가격 검산·기본사양가 진단·게시 위젯 전수 대조,4,4. 게시 위젯 가격 전수 대조(1차→2차→3차 승인),STD-ADP-037,게시 위젯 가격 전수 대조(1차 최숙진 → 2차 김용기 → 3차 채훈희 승인),위젯,서희항,부분,재배정,후니정기미팅 정리260915.html §가격·템플릿 데이터 · 미결 1 / 후니-오픈잔여작업-실무진안내_260909.html §항목 1 · ④ 완료 기준,위젯(STD-OPT 견적) — 고객이 실제로 보는 가격,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,매출,P21,매출·결제수단·할인 집계,1,1. 월별 매출 통계,STD-FIN-001,월별 매출 통계,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,매출,P21,매출·결제수단·할인 집계,2,2. 일별/기간별 매출 조회,STD-FIN-002,일별/기간별 매출 조회,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,매출,P21,매출·결제수단·할인 집계,3,3. 결제수단별 매출 집계,STD-FIN-003,결제수단별 매출 집계,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산,P21,매출·결제수단·할인 집계,4,4. 쿠폰/할인 사용액 집계,STD-FIN-011,쿠폰/할인 사용액 집계,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/promotion/additionalDiscount@2026-09-16,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품,P22,고객군·상품군 판매 통계,1,1. 상품별 판매 통계,STD-FIN-004,상품별 판매 통계,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품,P22,고객군·상품군 판매 통계,2,2. 상품군별 매출 비중,STD-FIN-005,상품군별 매출 비중,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,고객,P22,고객군·상품군 판매 통계,3,3. 회원/비회원 주문 비중,STD-FIN-006,회원/비회원 주문 비중,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/statistic/sales/period@2026-09-16 21:33,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품·고객(원장전용),P22,고객군·상품군 판매 통계,4,4. [구IA#79] 인쇄/제본 상품통계(상세보기),STD-FIN-015,[구IA#79] 인쇄/제본 상품통계 (상세보기),셀러어드민,최숙진,미실측,재배정,IA No.79 인쇄/제본 상품통계 · webadmin 통계 화면 없음 @ 2026-09-16 21:28 · 샵바이 통계(R1d),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품·고객(원장전용),P22,고객군·상품군 판매 통계,5,5. [구IA#80] 굿즈 상품통계(상세보기),STD-FIN-016,[구IA#80] 굿즈 상품통계 (상세보기),셀러어드민,최숙진,미실측,재배정,IA No.80 굿즈 상품통계 · 동 79,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품·고객(원장전용),P22,고객군·상품군 판매 통계,6,6. [구IA#81] 패키지 상품통계(상세보기),STD-FIN-017,[구IA#81] 패키지 상품통계 (상세보기),셀러어드민,최숙진,미실측,재배정,IA No.81 패키지 상품통계 · 동 79,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,상품·고객(원장전용),P22,고객군·상품군 판매 통계,7,7. [구IA#82] 수작 상품통계(상세보기),STD-FIN-018,[구IA#82] 수작 상품통계 (상세보기),셀러어드민,최숙진,미실측,재배정,IA No.82 수작 상품통계 · 동 79,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,생산,P23,생산·외주 작업량·발주정산,1,1. 공정/팀별 작업량 통계,STD-FIN-007,공정/팀별 작업량 통계,MES,최숙진,미착수,담당맞음,print-kb/wiki/policy/custom-dev.md#CST-09 · L4 사유: 제작상품 팀별통계(Excel)가 legacy 에 있으나 구현 근거 없음,t64 생산·출고 카드 — MES 공정 실적,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산,P23,생산·외주 작업량·발주정산,2,2. 외주 발주/정산 엑셀 산출,STD-FIN-010,외주 발주/정산 엑셀 산출,미확인,최숙진,미착수,재배정,print-quote/04_design/ia.md §2.3 SM-A-55 · L4 사유: 굿즈 발주/정산 Excel 이 legacy 에 있으나 구현 근거 없음,t64 생산·출고 카드 — MES 공정 실적,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,생산·정산(원장전용),P23,생산·외주 작업량·발주정산,3,3. [구IA#84] 굿즈 발주/정산(Excel 다운),STD-FIN-019,[구IA#84] 굿즈 발주/정산 (Excel 다운),미확인,최숙진,미착수,담당맞음,IA No.84 굿즈 발주/정산 Excel · MES 현행(auto-vs-human §2.7) · webadmin 없음 @ 2026-09-16 21:28,t64 생산·출고 카드 — MES 공정 실적,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산,P24,PG 정산 대사·계좌·미수금,1,1. PG 정산 대사,STD-FIN-008,PG 정산 대사,미확인,최숙진,미착수,재배정,print-kb/wiki/policy/order-payment.md#PAY-02 · L4 사유: 샵바이 정산이 라인 salePrice/addPrice 를 권위로 쓰는지 미관측(X-SETTLE-AUTH) — 대사 설계 이전 단계,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산(원장전용),P24,PG 정산 대사·계좌·미수금,2,2. [구IA#47] 계좌관리(원장용 계좌 등록),STD-FIN-013,[구IA#47] 계좌관리 (원장용 계좌 등록),미확인,최숙진,미착수,재배정,docs/huni/후니정기미팅 정리260915.html 「프린팅머니 원장 — 후니 웹어드민이 잔액·원장 보유 · 배치 미정」,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산(원장전용),P24,PG 정산 대사·계좌·미수금,3,3. [구IA#49] 업체별 미수금,STD-FIN-014,[구IA#49] 업체별 미수금,미확인,최숙진,미착수,재배정,IA No.49 업체별 미수금 · 9/15 회의 원장 배치 미정 · webadmin 해당 화면 없음 @ 2026-09-16 21:28,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산(원장전용),P24,PG 정산 대사·계좌·미수금,4,"4. 가상계좌 정산한도 1,000만 원 초과 시 처리 방안",STD-FIN-020,"가상계좌 정산한도 1,000만 원 초과 시 처리 방안",결정(PM),외부(토스페이먼츠),미착수,미정,후니정기미팅 정리260915.html §프린팅머니 · 미결 4,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산,P25,프린팅머니 부채 집계·내보내기·외부회계 연동,1,1. 적립금(프린팅머니) 부채 집계,STD-FIN-009,적립금(프린팅머니) 부채 집계,미확인,최숙진,미착수,재배정,print-kb/wiki/policy/mypage.md#MYP-02 · L4 사유: 고객측 포인트 잔액 조회는 done(SB-050)이나 부채 집계 화면 없음. 적립금 만료 기본값도 미명문화(X-MIG-EXPIRY),t62 회원·혜택 카드 P10~P12 — 프린팅머니 충전·사용,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,내보내기,P25,프린팅머니 부채 집계·내보내기·외부회계 연동,2,2. 통계·주문 데이터 엑셀 내보내기,STD-FIN-012,통계·주문 데이터 엑셀 내보내기,미확인,최숙진,미착수,재배정,print-quote/04_design/ia.md §2.3 SM-A-56 팀별통계 Excel · L4 사유: 엑셀 내보내기는 legacy 통계 2건에 부분 포함(1:N) — 전역 내보내기 기능으로는 미구현,t62 회원·혜택 카드 P10~P12 — 프린팅머니 충전·사용,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),정산·통계,정산(원장전용),P25,프린팅머니 부채 집계·내보내기·외부회계 연동,3,3. 적립금·증빙 데이터의 MS·이카운트 연동 방식,STD-FIN-021,적립금·증빙 데이터의 MS·이카운트 연동 방식,결정(PM),최숙진,미착수,재배정,"후니정기미팅 정리260915.html §증빙서류 · 미결 3 / 후니-오픈잔여작업-실무진안내_260909.html §항목 4 · 결정 필요 — 증빙서류, 이카운트 연동 방안",t62 회원·혜택 카드 P10~P12 — 프린팅머니 충전·사용,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한(원장전용),P26,관리자 계정·권한·감사로그,1,1. 실무진 운영자 계정 생성 + 권한그룹(셀러어드민),STD-SYS-038,실무진 운영자 계정 생성 + 권한그룹(현재 마스터 1·권한그룹 0),셀러어드민,최숙진,미착수,담당맞음,https://service.shopby.co.kr/admin/list·/authorityGroup/list @ 2026-09-16 21:33 (R/R1d/evidence/52-admin-list.txt·53-authority-group.txt),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한,P26,관리자 계정·권한·감사로그,2,2. 관리자 계정 등록·관리,STD-SYS-001,관리자 계정 등록·관리,몰·webadmin,김동학,부분,담당맞음,SB-059 stub — huni-skin-shopby/src/app/(admin)/admin/page.tsx:1-8 (자리표시) · WA-058 partial — raw/webadmin/webadmin/catalog/admin.py:2242-2310,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한(원장전용),P26,관리자 계정·권한·감사로그,3,3. [구IA#44] 관리자 등록/관리(webadmin),STD-SYS-025,[구IA#44] 관리자 등록/관리,webadmin,서희항,부분,재배정,https://huni-admin.printly.co.kr/admin/auth/user/ 4행 @ 2026-09-16 21:28 (webadmin 관리자) · 샵바이 운영자 등록은 셀러어드민(R1d),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한,P26,관리자 계정·권한·감사로그,4,4. 역할 기반 세분 권한 제어,STD-SYS-002,역할 기반 세분 권한 제어,huni-mall,김동학,부분,담당맞음,SB-060 partial — huni-skin-shopby/src/proxy.ts:21-23 (ADMIN 검사 미활성 주석) · src/lib/api/hooks/use-admins.ts:20,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한(원장전용),P26,관리자 계정·권한·감사로그,5,5. 관리자 대시보드(/admin) 존폐 결정,STD-SYS-042,"관리자 대시보드(/admin) 존폐 결정 — 빈 스캐폴드이며 role 이 항상 ""user"" 라 누구도 진입 불가",결정(PM),신우진,미착수,담당맞음,"huni-skin-shopby/src/app/(admin)/admin/page.tsx:2-8 스캐폴드 · src/lib/auth/auth.ts:161 `token.role = ""user""` 무조건 · src/app/(admin)/layout.tsx:19 admin 아니면 / · SPEC-TAKEOVER-001 U-16",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,권한,P26,관리자 계정·권한·감사로그,6,6. 관리자 작업 감사로그,STD-SYS-003,관리자 작업 감사로그,셀러어드민,최숙진,작동,provided,https://service.shopby.co.kr/PrivacyAccessHistories@2026-09-16,,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P27,몰 기초정보·도메인·발송메일 설정,1,1. 기초정보 사업자 정보 입력,STD-SYS-037,기초정보 사업자 정보 입력(회사명·사업자등록번호·통신판매업신고번호·주소·개인정보책임자),셀러어드민,최숙진,미착수,담당맞음,"https://service.shopby.co.kr/service @ 2026-09-16 21:33 — 회사명·사업자등록번호·통신판매업 신고번호·주소·업종/업태·개인정보보호책임자 빈칸 · 대표자명 「대표 운영자」 · API serviceBasicInfo companyName="""" (R/R1d/evidence/72-service-basic.txt)",,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P27,몰 기초정보·도메인·발송메일 설정,2,2. 쇼핑몰 도메인·SNS 콜백 URL 정합,STD-SYS-036,쇼핑몰 도메인·SNS 콜백 URL 정합(shopby.huniprinting.com / shoby.huniprinting.com / shoby.huniprinting.co.kr),셀러어드민,김동학,미착수,담당맞음,https://service.shopby.co.kr/mall/modification/81683 @ 2026-09-16 21:31 — PC 웹 도메인 https://shopby.huniprinting.com/ · 모바일 웹 https://shoby.huniprinting.com · SNS 콜백 PC https://shoby.huniprinting.co.kr/callback/auth-callback · 실제 신규몰(p1)=https://shopby.huniprinting.co.kr/ (R/R1d/evidence/20-mall-list.txt·24-mall-modification.txt),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P27,몰 기초정보·도메인·발송메일 설정,3,3. 보호 라우트 리다이렉트가 vercel.app 으로 튀는 문제,STD-SYS-024,보호 라우트 리다이렉트가 vercel.app 도메인으로 튐(마이페이지·/admin),huni-mall,김동학,미착수,담당맞음,https://shopby.huniprinting.co.kr/mypage → https://huni-skin-shopby.vercel.app/login?callbackUrl=%2Fmypage @ 2026-09-16 21:27,,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P27,몰 기초정보·도메인·발송메일 설정,4,4. 발송전용 e-mail 도메인 정리·메일 도메인 인증,STD-SYS-040,발송전용 e-mail 도메인(gmail) 정리·자동 메일 도메인 인증,셀러어드민,최숙진,미착수,담당맞음,https://service.shopby.co.kr/mall/modification/81683 @ 2026-09-16 21:31 — 고객센터/발송전용 e메일 [연락처 마스킹] · 화면 안내 「개인/회사 소유 도메인은 SPF/DKIM/DMARC 인증 필요」 · /mail/dispatch 발송 메일 동일 (R/R1d/evidence/24-mall-modification.txt·32-mail-dispatch.txt),,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P28,알림(SMS·알림톡) 설정·발송,1,1. SMS 발신번호 인증 완료,STD-SYS-029,SMS 발신번호 인증 완료,셀러어드민,최숙진,구현-미검증,담당맞음,후니정기미팅 정리260915.html §회원·로그인·인증 · 확정 3,주문·결제 카드 — 주문 단계별 알림 시점,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P28,알림(SMS·알림톡) 설정·발송,2,2. 테스트용 SMS 충전 완료 여부 확인,STD-SYS-030,테스트용 SMS 충전 완료 여부 확인,셀러어드민,최숙진,미착수,담당맞음,후니정기미팅 정리260915.html §회원·로그인·인증 · 미결 2,주문·결제 카드 — 주문 단계별 알림 시점,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P28,알림(SMS·알림톡) 설정·발송,3,3. SMS 사용설정 「사용」 전환 + 포인트 충전,STD-SYS-034,"SMS 사용설정 「사용」 전환 + 포인트 충전(현재 1,000P·사용 안 함)",셀러어드민,최숙진,미착수,담당맞음,"https://service.shopby.co.kr/pro/premium/sms/main/config @ 2026-09-16 21:31 — SMS 사용설정 「사용 안 함」·잔여 1,000P(SMS 1,000건/알림톡 1,666건)·발신번호 02-3409-8853 등록·부족알림 사용(100P) (R/R1d/evidence/30-sms-config.png)",주문·결제 카드 — 주문 단계별 알림 시점,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정(원장전용),P28,알림(SMS·알림톡) 설정·발송,4,4. 알림톡 사용여부 「사용함」 + 주문배송 항목 선택 + 템플릿 검수,STD-SYS-035,알림톡 사용여부 「사용함」 + 주문배송 항목 선택 + 템플릿 검수,셀러어드민,최숙진,미착수,담당맞음,https://service.shopby.co.kr/pro/premium/kakao/notification/config @ 2026-09-16 21:31~21:34 — 채널 @huniprinting·발신프로필키 등록·알림톡 사용여부 「사용 안 함」·주문배송 항목 전부 「사용 안 함」·템플릿 관리 0건 (R/R1d/evidence/31-kakao-alimtalk.png·33-alimtalk-order-delivery.png·35-alimtalk-template-list.txt),주문·결제 카드 — 주문 단계별 알림 시점,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정,P28,알림(SMS·알림톡) 설정·발송,5,5. 알림(SMS/알림톡/이메일) 템플릿 설정,STD-SYS-006,알림(SMS/알림톡/이메일) 템플릿 설정,셀러어드민,최숙진,미착수,재배정,print-kb/wiki/policy/order-mgmt.md#OMG-03 · L4 사유: 알림 템플릿 관리 L2 무근거. 계약 선행.,주문·결제 카드 — 주문 단계별 알림 시점,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정,P29,결제(PG)·배송비 정책 설정,1,1. PG 연동 설정,STD-SYS-004,PG 연동 설정,셀러어드민,최숙진,부분,재배정,SB-033 done — huni-skin-shopby/src/lib/payments/ncp-pay.ts:47-70 · src/app/api/pay-config/route.ts:8 / SB-032 absent — src/components/checkout/checkout-form.tsx:8-9 ('PG 연동은 후속 — 현재는 무통장만 동작'),결제(STD-PAY)·배송(STD-SHP) 카드 — 고객이 겪는 결제·배송 화면,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,설정,P29,결제(PG)·배송비 정책 설정,2,2. 배송비 정책 설정,STD-SYS-005,배송비 정책 설정,셀러어드민,최숙진,부분,재배정,print-kb/wiki/policy/shipping.md#SHIP-02 · L4 사유: 도서산간 권역 정책 미확정(1차 W7-9).,결제(STD-PAY)·배송(STD-SHP) 카드 — 고객이 겪는 결제·배송 화면,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),1,1. 커머스 플랫폼 API 인증·토큰 관리,STD-SYS-007,커머스 플랫폼 API 인증·토큰 관리,huni-mall,김동학,작동,담당맞음,https://shopby.huniprinting.co.kr/product/136578124@2026-09-16 21:29,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동,P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),2,2. 인쇄 도메인 DB ↔ 커머스 상품 동기화,STD-SYS-008,인쇄 도메인 DB ↔ 커머스 상품 동기화,webadmin,서희항,부분,재배정,WA-045 done — raw/webadmin/webadmin/catalog/shopby_sync.py:1-30 · WA-046 done — catalog/shopby_client.py:1-50 · SB-015 partial — huni-skin-shopby/src/lib/printly/product-code-map.ts:41-49 (수동 7건만 등록),상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,N
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동(원장전용),P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),3,3. 상품 텍스트옵션 라벨 huni_token 미등록 확정 → 담기 구현 정합,STD-SYS-041,상품 텍스트옵션 라벨 huni_token 미등록 확정(U-2) → 스킨 담기 구현 정합,몰·샵바이,김동학+신우진,미착수,분할,"API GET /products/136578130 mallProductInputs=[huni_order, huni_item] (huni_token 없음) @ 2026-09-16 21:31 (R/R1d/evidence/api-server-product-sample.json) · Q0 label-check 226건 참조",상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동(원장전용),P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),4,4. 후니 위젯 서버키 헤더(X-Huni-Server-Key) 전송 배선,STD-SYS-045,후니 위젯 서버키 헤더(X-Huni-Server-Key) 전송 배선 — 제공자가 WAPI_SERVER_KEY_REQUIRED 를 켜면 재견적이 403,몰·webadmin,김동학+서희항,미착수,분할,huni-skin-shopby/src grep `X-Huni-Server-Key` 0곳 · huni-skin-next/src/lib/printly/server-key.ts(포크 구현·commit 6231dc4) · SPEC-TAKEOVER-001 spec.md:43·D-4,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동(원장전용),P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),5,5. Railway 상세탭 뷰 직접 SELECT — 타임아웃·DDL 소유,STD-SYS-049,Railway `vc_v_product_detail_tabs` 직접 SELECT — pg.Pool 타임아웃 없음·DDL 소유자 미정(계약 협상),huni-mall,김동학,미착수,담당맞음,huni-skin-shopby/src/lib/printly/publications.ts:48-56 Pool 옵션 없음·84-85 SELECT · SPEC-TAKEOVER-001 D-2 · 포크 M5(commit 5366dac) 타임아웃 적용,상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,Y
후니프린팅 몰 전체(huni-mall 독립몰 + 샵바이 + webadmin/위젯 + MES/PitStop),시스템·플랫폼,연동(원장전용),P30,상품·가격 데이터 동기화(webadmin ↔ 샵바이),6,6. 웹훅 등록 화면 위치 확인 및 등록 여부,STD-SYS-039,웹훅 등록 화면 위치 확인(셀러어드민 내 미발견) 및 등록 여부,셀러어드민,최숙진,미착수,재배정,https://service.shopby.co.kr 전체메뉴 98링크 중 webhook 0 · 앱 상세(Huni Admin) 항목=설치정보·API 권한 8종만 · Server API GET /webhooks 404·/webhooks/failed 400 (R/R1d/evidence/01-fullmenu-links.txt·42-app-huni-admin-detail.txt·api-get-log.txt),상품·카탈로그(STD-CAT) 카드 — 고객이 보는 상품 목록·시작가,Y
